Offer_ID,Segment,Offer,Product Type
166,2,"Flash sale: Up to 40% off on selected grocery items!",Consumable
167,2,"Buy any two personal care items and get a third one free!",Non-Consumable
168,2,"Get 30% off on all baby care products!",Non-Consumable
169,2,"Exclusive supermarket sale: Up to 50% off on selected items!",Consumable
170,2,"Upgrade your baking supplies with exclusive discounts on ingredients!",Consumable
171,2,"Introducing our latest organic products with exclusive discounts!",Consumable
172,2,"Special offer for food enthusiasts: Buy 2, Get 1 Free!",Consumable
173,2,"Buy any two beverages and get a third one free!",Consumable
174,2,"Get 25% off on all snacks and treats!",Consumable
175,2,"Exclusive offer: Buy a gift basket and get a free greeting card!",Consumable
176,2,"Upgrade your pet supplies with special discounts on pet food and toys!",Consumable
177,2,"Special offer on personal care items: Up to 30% off on selected products!",Non-Consumable
178,2,"Buy a bundle of fruits and get a free recipe book!",Consumable
179,2,"Introducing our latest collection of international foods with exclusive discounts!",Consumable
180,2,"Upgrade your beverage selection: Get 20% off on all beverages!",Consumable
181,2,"Exclusive offer: Buy 1, Get 1 at 50% off on organic foods!",Consumable
182,2,"Limited time offer: 20% off on all household essentials!",Non-Consumable
183,2,"Flash sale: Up to 40% off on selected grocery items!",Consumable
184,2,"Buy any two personal care items and get a third one free!",Non-Consumable
185,2,"Get 30% off on all baby care products!",Non-Consumable
186,2,"Exclusive supermarket sale: Up to 50% off on selected items!",Consumable
187,2,"Upgrade your baking supplies with exclusive discounts on ingredients!",Consumable
188,2,"Introducing our latest organic products with exclusive discounts!",Consumable
189,2,"Special offer for food enthusiasts: Buy 2, Get 1 Free!",Consumable
190,2,"Buy any two beverages and get a third one free!",Consumable
191,2,"Get 25% off on all snacks and treats!",Consumable
192,2,"Exclusive offer: Buy a gift basket and get a free greeting card!",Consumable
193,2,"Upgrade your pet supplies with special discounts on pet food and toys!",Consumable
194,2,"Special offer on personal care items: Up to 30% off on selected products!",Non-Consumable
195,2,"Buy a bundle of fruits and get a free recipe book!",Consumable
196,2,"Introducing our latest collection of international foods with exclusive discounts!",Consumable
197,2,"Upgrade your beverage selection: Get 20% off on all beverages!",Consumable
198,2,"Exclusive offer: Buy 1, Get 1 at 50% off on organic foods!",Consumable
199,2,"Limited time offer: 20% off on all household essentials!",Non-Consumable
200,2,"Flash sale: Up to 40% off on selected grocery items!",Consumable
