Offer_ID,Segment,Offer,Product Type
272,3,"Buy 3, Get 1 at 55% off on beauty products!",Consumable
273,3,"Gadgets galore: Up to 85% off!",Non-Consumable
274,3,"Kitchen essentials: Buy 1, Get 1 at 50% off!",Consumable
275,3,"Backyard bonanza: 50% off on outdoor furniture!",Non-Consumable
276,3,"Office supplies special: Buy 4, Get 2 free!",Consumable
277,3,"Tech deals: Up to 70% off on smart home devices!",Non-Consumable
278,3,"Home essentials bundle: Buy 3, Get 1 free!",Consumable
279,3,"Limited time offer: 15% off on wall art and frames!",Non-Consumable
280,3,"Fitness gear: Buy 4, Get 1 at 60% off!",Consumable
281,3,"Electronics extravaganza: Up to 75% off!",Non-Consumable
282,3,"Supermarket sweep: Buy 2, Get 2 free!",Consumable
283,3,"Fashion fiesta: 45% off on clothing and accessories!",Non-Consumable
284,3,"Buy 5, Get 2 at 45% off on beauty products!",Consumable
285,3,"Gadgets galore: Up to 80% off!",Non-Consumable
286,3,"Kitchen essentials: Buy 3, Get 1 free!",Consumable
287,3,"Backyard bonanza: 55% off on outdoor furniture!",Non-Consumable
288,3,"Office supplies special: Buy 2, Get 1 free!",Consumable
289,3,"Tech deals: Up to 75% off on gaming accessories!",Non-Consumable
290,3,"Home essentials bundle: Buy 4, Get 2 free!",Consumable
291,3,"Limited stock: 25% off on home decor!",Non-Consumable
292,3,"Fitness gear: Buy 2, Get 2 at 45% off!",Consumable
293,3,"Electronics extravaganza: Up to 50% off!",Non-Consumable
294,3,"Supermarket sweep: Buy 3, Get 1 free!",Consumable
295,3,"Fashion fiesta: 50% off on fashion and accessories!",Non-Consumable
296,3,"Buy 4, Get 2 at 50% off on beauty products!",Consumable
297,3,"Gadgets galore: Up to 90% off!",Non-Consumable
298,3,"Kitchen essentials: Buy 1, Get 1 at 55% off!",Consumable
299,3,"Backyard bonanza: 60% off on outdoor furniture!",Non-Consumable
300,3,"Office supplies special: Buy 5, Get 3 free!",Consumable
301,3,"Tech deals: Up to 60% off on cameras and accessories!",Non-Consumable
302,3,"Home essentials bundle: Buy 6, Get 2 free!",Consumable
303,3,"Limited time offer: 30% off on bedding and linens!",Non-Consumable
304,3,"Fitness gear: Buy 3, Get 1 at 65% off!",Consumable
305,3,"Electronics extravaganza: Up to 85% off!",Non-Consumable
306,3,"Supermarket sweep: Buy 2, Get 1 free!",Consumable
307,3,"Fashion fiesta: 55% off on clothing and accessories!",Non-Consumable
308,3,"Buy 5, Get 2 at 55% off on beauty products!",Consumable
309,3,"Gadgets galore: Up to 70% off!",Non-Consumable
310,3,"Kitchen essentials: Buy 3, Get 1 free!",Consumable
311,3,"Backyard bonanza: 65% off on outdoor furniture!",Non-Consumable
312,3,"Office supplies special: Buy 2, Get 1 free!",Consumable
313,3,"Tech deals: Up to 80% off on audio equipment!",Non-Consumable
314,3,"Home essentials bundle: Buy 4, Get 2 free!",Consumable
315,3,"Limited stock: 30% off on home decor!",Non-Consumable
316,3,"Fitness gear: Buy 2, Get 2 at 50% off!",Consumable
317,3,"Electronics extravaganza: Up to 60% off!",Non-Consumable
318,3,"Supermarket sweep: Buy 3, Get 1 free!",Consumable
319,3,"Fashion fiesta: 60% off on fashion and accessories!",Non-Consumable
320,3,"Buy 4, Get 2 at 60% off on beauty products!",Consumable
321,3,"Gadgets galore: Up to 75% off!",Non-Consumable
322,3,"Kitchen essentials: Buy 3, Get 1 free!",Consumable
323,3,"Backyard bonanza: 70% off on outdoor furniture!",Non-Consumable
324,3,"Office supplies special: Buy 2, Get 1 free!",Consumable
325,3,"Tech deals: Up to 70% off on smartwatches and wearables!",Non-Consumable
326,3,"Home essentials bundle: Buy 5, Get 3 free!",Consumable
327,3,"Limited time offer: 35% off on wall art and frames!",Non-Consumable
328,3,"Fitness gear: Buy 4, Get 1 at 70% off!",Consumable
329,3,"Electronics extravaganza: Up to 90% off!",Non-Consumable
330,3,"Supermarket sweep: Buy 2, Get 2 free!",Consumable
331,3,"Fashion fiesta: 65% off on clothing and accessories!",Non-Consumable
332,3,"Buy 5, Get 2 at 65% off on beauty products!",Consumable
333,3,"Gadgets galore: Up to 80% off!",Non-Consumable
334,3,"Kitchen essentials: Buy 1, Get 1 at 60% off!",Consumable
335,3,"Backyard bonanza: 75% off on outdoor furniture!",Non-Consumable
336,3,"Office supplies special: Buy 4, Get 2 free!",Consumable
337,3,"Tech deals: Up to 75% off on gaming consoles!",Non-Consumable
338,3,"Home essentials bundle: Buy 3, Get 1 free!",Consumable
339,3,"Limited stock: 35% off on bedding and linens!",Non-Consumable
